


 
  


 
 
Atenção:
Algumas emissoras podem mudar jogos da grade sem aviso prévio. Pedimos a compreensão caso isso ocorra. Apenas disponibilizamos a grade lançada por elas.

×
Dispensar alerta



 QUARTA-FEIRA  - 08/02/2023 Horário de Brasília (GMT -3)
 🕗 07:00	 -  Campeonato Espanhol Feminino	  Tenerife x Real Madrid	  📺 DAZN	   
 🕗 08:30	 -  Copa Itália Feminina	  Milan x Fiorentina	  📺 STAR+	   
 🕗 10:30	 -  Copa Itália Feminina	  Juventus x Chievo Verona	  📺 STAR+	   
 🕗 14:00	 -  Copa do Brasil	  Sorteio da primeira fase	  📺 CBF TV   
 🕗 14:00	 -  Copa da Alemanha	  Nuremberg x Dusseldorf	  📺 STAR+	   
 🕗 15:00	 -  Campeonato Candango	  Brasília x Santa Maria	  📺 ELEVEN SPORTS	   
 🕗 15:00	 -  Campeonato Candango	  Gama x Real Brasília	  📺 ELEVEN SPORTS	   
 🕗 15:00	 -  Campeonato Potiguar	  Força e Luz x ABC	  📺 TV ABC+	   
 🕗 15:15	 -  Copa de Portugal	  Famalicão x B-SAD	  📺 STAR+   
 🕗 15:30	 -  Campeonato Paranaense	  São Joseense x Aruko	  📺 NSPORTS; ONEFOOTBALL	   
 🕗 15:30	 -  Campeonato Candango	  Capital x Brasiliense	  📺 ELEVEN SPORTS   
 🕗 15:30	 -  Campeonato Candango	  Ceilândia x Paranoá	  📺 ELEVEN SPORTS	   
 🕗 16:00	 -  Mundial de Clubes FIFA (semifinal)	  Al Ahly x Real Madrid	  📺 GLOBO; SPORTV. GLOBO ESPORTE; GLOBOPLAY; CANAL DO CASIMIRO; FIFA +	GLOBO; SPORTV. GLOBO ESPORTE; GLOBOPLAY; CANAL DO CASIMIRO; FIFA +	  
 🕗 16:30	 -  Campeonato Catarinense	  Barra x Avaí	  📺 NSPORTS; ONEFOOTBALL	   
 🕗 16:45	 -  Copa da Alemanha	  Bochum x Borussia Dortmund	  📺 ESPN4   
 🕗 16:45	 -  Copa da Inglaterra	  Sunderland x Fulham	  📺 ESPN2	   
 🕗 17:00	 -  Campeonato Inglês	  Manchester United x Leeds United	  📺 STAR+	   
 🕗 17:45	 -  Copa de Portugal	  Academico Viseu x Porto	  📺 ESPN3	   
 🕗 19:00	 -  Campeonato Gaúcho	  Novo Hamburgo x Brasil de Pelotas	  📺 GLOBO ESPORTE	   
 🕗 19:00	 -  Campeonato Catarinense	  Brusque x Concórdia	  📺 NSPORTS; ONEFOOTBALL	   
 🕗 19:15	 -  Campeonato Mineiro	  Atlético x Democrata de Sete Lagoas	  📺 PREMIERE   
 🕗 19:15	 -  Campeonato Paranaense	  Maringá x Azuriz	  📺 NSPORTS; ONEFOOTBALL   
 🕗 19:15	 -  Campeonato Paranaense	  Operário x Rio Branco	  📺 NSPORTS; ONEFOOTBALL	   
 🕗 19:15	 -  Campeonato Baiano	  Atlético de Alagoinhas x Vitória	  📺 TVE (BA)   
 🕗 19:30	 -  Campeonato Paulista	  Red Bull Bragantino x São Paulo	  📺 PAULISTÃO PLAY; PREMIERE	   
 🕗 19:30	 -  Campeonato Goiano	  Goiás x Goianésia	  📺 TV BRASIL CENTRAL/TV CULTURA (GO); DAZN   
 🕗 20:00	 -  Campeonato Gaúcho	  São Luiz x Esportivo	  📺 GLOBO ESPORTE   
 🕗 20:00	 -  Campeonato Mineiro	  Patrocinense x Tombense	  📺 NSPORTS   
 🕗 20:00	 -  Campeonato Pernambucano	  Porto x Sport	  📺 DAZN   
 🕗 20:00	 -  Copa do Nordeste	  Santa Cruz x Fluminense-PI	  📺 ONEFOOTBALL	   
 🕗 20:00	 -  Campeonato Mato-Grossense	  Cuiabá x Operário de Várzea Grande	  📺 ELEVEN SPORTS	   
